"name","region","totalSum","theoretical","practical","development","services","workers","scientists","womenScientists","t25","f25t29","f30t34","f35t39","f40t44","f45t49","f50t54","f55t59","f60t64","f65t69","f70","group","menScientists","theorandpract","young","old"
"ДОНЕЦЬКИЙ БОТАНІЧНИЙ САД НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Днепр",1253.3,1090.7,162.6,0,0,13,4,4,0,1,0,1,0,0,2,0,0,0,0,"природничі науки",0,1253.3,2,2
"КРИВОРІЗЬКИЙ БОТАНІЧНИЙ САД НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Днепр",3522.3,2403.2,801.5,0,317.6,71,31,23,0,4,7,4,3,4,3,4,0,1,1,"природничі науки",8,3204.7,22,9
"ДЕРЖАВНИЙ ДЕНДРОЛОГІЧНИЙ ПАРК ""ОЛЕКСАНДРІЯ"" НАН УКРАЇНИ","Киев. Область",5492.2,4659,550.9,0,282.3,86,21,13,4,2,2,2,2,2,1,5,1,0,0,"природничі науки",8,5209.9,14,7
"НАЦІОНАЛЬНИЙ ДЕНДРОЛОГІЧНИЙ ПАРК ""СОФІЇВКА"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Черкассы",20993,5140,15853,0,0,183,39,24,0,3,5,6,12,2,4,1,2,0,4,"природничі науки",15,20993,28,11
"ДЕРЖАВНИЙ ДЕНДРОЛОГІЧНИЙ ПАРК ""ТРОСТЯНЕЦЬ"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Чернигов",2035.9,2035.9,0,0,0,37,7,3,1,0,0,1,0,0,1,0,1,1,2,"природничі науки",4,2035.9,2,5
"ІНСТИТУТ БОТАНІКИ ІМ. М.Г. ХОЛОДНОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",14713.3,13950.8,762.5,0,0,235,168,116,3,23,16,14,20,9,15,23,14,16,15,"природничі науки",52,14713.3,85,83
"НАЦІОНАЛЬНИЙ БОТАНІЧНИЙ САД ІМЕНІ М. М. ГРИШКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",22195.8,16257.7,3678.1,2260,0,354,234,158,11,19,25,30,27,32,28,20,18,14,10,"природничі науки",76,19935.8,144,90
"ІНСТИТУТ МІКРОБІОЛОГІЇ І ВІРУСОЛОГІЇ ІМ. Д.К. ЗАБОЛОТНОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",23498.1,19884.3,3613.8,0,0,320,176,133,14,19,18,34,9,8,9,16,14,17,18,"природничі науки",43,23498.1,102,74
"ІНСТИТУТ ЗООЛОГІЇ ІМ.І.І.ШМАЛЬГАУЗЕНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",13498.6,11976.6,1245.3,0,276.7,205,145,75,0,8,21,11,16,15,16,21,18,9,10,"природничі науки",70,13221.9,71,74
"НАЦІОНАЛЬНИЙ НАУКОВО-ПРИРОДНИЧИЙ МУЗЕЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",7156,5546,920,0,690,108,47,26,0,9,7,3,3,1,7,6,2,7,2,"природничі науки",21,6466,23,24
"ІНСТИТУТ ФІЗІОЛОГІЇ РОСЛИН І ГЕНЕТИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",22448.6,17119.9,1795.8,505,3027.9,191,99,71,4,12,16,8,7,6,9,15,10,4,8,"природничі науки",28,18915.7,53,46
"ІНСТИТУТ ПРОБЛЕМ ПРИРОДОКОРИСТУВАННЯ ТА ЕКОЛОГІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Днепр",4916.3,4313.3,463.2,139.8,0,90,30,18,0,0,2,2,3,1,4,6,8,2,2,"природничі науки",12,4776.5,8,22
"ДЕРЖАВНИЙ ПРИРОДОЗНАВЧИЙ МУЗЕЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",6823.7,2051.3,762.3,710.4,3299.7,61,39,17,0,6,5,5,6,3,6,4,2,2,0,"природничі науки",22,2813.6,25,14
"ІНСТИТУТ ЕКОЛОГІЇ КАРПАТ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",4529.2,2987.7,533,0,1008.5,65,51,28,1,6,4,9,5,5,5,7,6,2,1,"природничі науки",23,3520.7,30,21
"ПІВНІЧНО-СХІДНИЙ НАУКОВИЙ ЦЕНТР НАН УКРАЇНИ І МІНОСВІТИ І НАУКИ УКРАЇНИ","Харьков",1974.8,0,1974.8,0,0,23,14,4,0,0,2,1,0,0,0,3,5,0,3,"природничі науки",10,1974.8,3,11
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ГЕОХІМІЇ НАВКОЛИШНЬОГО СЕРЕДОВИЩА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",12026.7,9488.4,2183,49,306.3,178,147,67,7,15,14,10,9,6,14,15,15,17,25,"природничі науки",80,11671.4,61,86
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ЕВОЛЮЦІЙНОЇ ЕКОЛОГІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",11156.5,9708.7,1447.8,0,0,173,79,30,1,18,14,8,7,8,3,6,9,5,0,"природничі науки",49,11156.5,56,23
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ МОРСЬКОЇ БІОЛОГІЇ НАН УКРАЇНИ""","Одесса",8139.9,6446.6,0,1693.3,0,84,52,26,0,5,8,4,4,1,4,8,9,1,8,"природничі науки",26,6446.6,22,30
"ХЕРСОНСЬКА ГІДРОБІОЛОГІЧНА СТАНЦІЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Херсон",908.8,718.4,190.4,0,0,19,10,4,1,1,2,1,0,0,0,1,0,4,0,"природничі науки",6,908.8,5,5
"ІНСТИТУТ ГІДРОБІОЛОГІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",14666.2,12498.9,2167.3,0,0,231,126,74,1,11,22,7,11,13,14,16,12,12,7,"природничі науки",52,14666.2,65,61
"ІНСТИТУТ ПРОБЛЕМ КРІОБІОЛОГІЇ І КРІОМЕДИЦИНИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",20707.5,17217.8,2676.2,0,813.5,280,169,107,0,10,18,22,15,15,16,21,15,20,17,"природничі науки",62,19894,80,89
"ІНСТИТУТ БІОЛОГІЇ КЛІТИНИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",7197.9,5388.2,1140.2,518.9,150.6,71,55,35,2,15,5,4,6,4,3,5,5,4,2,"природничі науки",20,6528.4,36,19
